BusStopCode RoadName    Description
00481	Woodlands Rd	BT PANJANG TEMP BUS PK
01012	Victoria St	Hotel Grand Pacific
01013	Victoria St	St. Joseph's Ch
01019	Victoria St	Bras Basah Cplx
01029	Nth Bridge Rd	Cosmic Insurance Bldg
01039	Nth Bridge Rd	Nth Bridge Commercial Cplx
01059	Victoria St	Bugis Stn
01109	Queen St	Queen St Ter
01112	Victoria St	Opp Bugis Junction
01113	Victoria St	Bugis Stn
01119	Victoria St	Bugis Junction
01121	Victoria St	Stamford Pr Sch
01129	Victoria St	Opp Stamford Pr Sch
01139	Nth Bridge Rd	Parkview Sq
01211	Victoria St	Opp Blk 461
01219	Victoria St	Blk 461
01229	Nth Bridge Rd	Bef Sultan Mque
01231	Jln Sultan	Opp Textile Ctr
01239	Jln Sultan	Sultan Plaza
01311	Kallang Rd	Lavender Stn Exit B
01319	Kallang Rd	Lavender Stn Exit A/ICA
01329	Nth Bridge Rd	Blk 8
01339	Crawford St	Bef Crawford Bridge
01341	Crawford St	Southbank
01349	Crawford St	Opp Blk 4
01411	Beach Rd	Opp St. John HQ
01419	Beach Rd	St. John HQ
01421	Beach Rd	Opp Golden Mile Cplx
01429	Beach Rd	Golden Mile Cplx
01511	Beach Rd	Opp The Gateway
01519	Beach Rd	The Gateway
01521	Beach Rd	Opp Plaza Parkroyal
01529	Beach Rd	Plaza Parkroyal
01541	Rochor Rd	Bugis Stn Exit D
01549	Ophir Rd	Near Bali Lane
01559	Ophir Rd	Landmark Village Hotel
01611	Beach Rd	Raffles Hotel
01619	Beach Rd	Opp Raffles Hotel
01621	Beach Rd	Opp Shaw Twrs
01629	Beach Rd	Shaw Twrs
01631	Middle Rd	Aft Beach Rd
01639	Middle Rd	Bef Beach Rd
02029	Connaught Dr	Opp S'pore Cricket Club
02049	Bras Basah Rd	Raffles Hotel
02051	Raffles Ave	Seating Gallery
02061	Raffles Ave	The Esplanade
02089	Raffles Blvd	Pan Pacific Hotel
02099	Raffles Blvd	Marina Ctr Ter
02101	Raffles Ave	Bef Temasek Ave
02111	Esplanade Dr	Esplanade Bridge
